Judul Ads,Grade Score - V3,Ad Spend,Impressions,3s View,50% View,Link Click,LP View,Conversions,Campaign Conversions,Revenue,Hook Quality,Content Quality,Clickability,LP Match Rate,RoAS CC,Ads Grade - V3,Hook Grade,Content Grade,Video Clickability Grade,LP Match Grade (REVISI),Offer Quality Grade,Reported V3
Pufi - Vina Panduwinata - Kendalikan Hipertensi Tanpa Stress - 3Peptide,6.7961165049%,"IDR 1,290,564.00","20,777","3,935",655,197,108,14,206,"IDR 1,400,000.00",18.9392116282%,16.6454891995%,0.948163835%,12.962962963%,108.4797034475%,🟨🟨🟨 B,🔴 Bad,🟡 Neutral,🔴🔴 Very Bad,🟢🟢 Very Good,🟢🟢 Very Good,Reported
EDU - Brand - Video - 5 Makanan Yang Boleh Dikonsumsi Penderita Diabetesi - Metafiber (Mirror IG),6.6666666667%,"IDR 3,130,506.00","177,896","78,831","58,873","15,615","9,693",11,165,"IDR 299,000.00",44.3129693754%,74.6825487435%,8.7776003957%,0.1134839575%,9.5511715997%,🟨🟨🟨 B,🟢🟢 Very Good,🟢🟢 Very Good,🔴🔴 Very Bad,🔴🔴 Very Bad,🔴🔴 Very Bad,Reported
Kompilasi - Customer - Manfaat SugarBlocker Tidak Perlu Diragukan - Metafiber,6.6518847007%,"IDR 2,689,748.00","91,250",0,0,"1,413",615,30,451,"IDR 588,000.00",0%,,1.5484931507%,4.8780487805%,21.8607839842%,🟨🟨🟨 B,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,🟡 Neutral,🔴 Bad,Reported
BOFU 75 - VID - Mau order produk mGanik di mana sih? - Metafiber,6.5420560748%,"IDR 736,799.00","12,465","2,835","1,215",151,108,21,321,IDR 0.00,22.7436823105%,42.8571428571%,1.2113918973%,19.4444444444%,0%,🟨🟨🟨 B,🔴 Bad,🟢🟢 Very Good,🔴🔴 Very Bad,🟢🟢 Very Good,🔴🔴 Very Bad,Reported
Talent - Berliana - Jangan Anggap Biasa - 3Peptide,6.25%,"IDR 2,450,799.00","57,251","15,736",652,705,370,22,352,"IDR 700,000.00",27.4859827776%,4.1433655313%,1.2314195385%,5.9459459459%,28.5621138249%,🟨🟨🟨 B,🟡 Neutral,🔴🔴 Very Bad,🔴🔴 Very Bad,🟢 Good,🟡 Neutral,Reported
A&P - EoA - Motion with VO - Keuntungan Pesan mGanik di Mitra Seller - M3P,5.859375%,"IDR 222,442.00","6,415",926,395,56,42,15,256,IDR 0.00,14.4349181606%,42.656587473%,0.872954014%,35.7142857143%,0%,🟨🟨🟨 B,🔴🔴 Very Bad,🟢🟢 Very Good,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
PUFI - Cutdown 9 - Dewi Yull - Aa Terkena Diabetes,5.6213017751%,"IDR 2,389,628.00","37,383","13,590","2,972",991,496,19,338,"IDR 299,000.00",36.3534226788%,21.8690213392%,2.650937592%,3.8306451613%,12.512407789%,🟨🟨🟨 B,🟢 Good,🟡 Neutral,🔴🔴 Very Bad,🟡 Neutral,🔴 Bad,Reported
KOL Expert - (Ad Code) Maria Ana Mustika - Superfood,5.1282051282%,"IDR 1,089,645.00","12,802","4,089","1,202",337,193,8,156,"IDR 1,166,000.00",31.9403218247%,29.3959403277%,2.6324011873%,4.1450777202%,107.0073280747%,🟨🟨🟨 B,🟡 Neutral,🟢 Good,🔴🔴 Very Bad,🟡 Neutral,🟢🟢 Very Good,Reported
Expert - BVA - dr. Bayushi - Komplikasi Jantung Bisa Dihindari - 3Peptide,5.1118210863%,"IDR 1,628,776.00","73,538",0,0,"2,457","1,444",16,313,IDR 0.00,0%,,3.341129756%,1.108033241%,0%,🟨🟨🟨 B,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,🔴🔴 Very Bad,🔴🔴 Very Bad,Reported
BPR - BVA - Photoshoot Product Metafiber - Mudah Bawanya Aman Gula Darahnya - Metafiber,5.0997782705%,"IDR 2,685,560.00","51,034",3,3,541,285,23,451,"IDR 1,196,000.00",0.005878434%,100%,1.0600775953%,8.0701754386%,44.534473257%,🟨🟨🟨 B,🔴🔴 Very Bad,🟢🟢 Very Good,⬜ Insufficient Data,🟢🟢 Very Good,🟡 Neutral,Reported
